"Wavelength","ATTO 425 AB"
300,0.0583393943696969
301,0.0546181818757576
302,0.0512887443991342
303,0.0483510819398268
304,0.0458051944978354
305,0.0439264068614718
306,0.0421601733376623
307,0.0405541126406926
308,0.0393116883982683
309,0.0382164501212121
310,0.0372034634112554
311,0.0361645021212121
312,0.0353246758528138
313,0.0341991351688311
314,0.0329220785367965
315,0.0314458878614718
316,0.0302510824891774
317,0.0292467532857142
318,0.0283896107359307
319,0.0278787883290043
320,0.0276277067792207
321,0.0273549795670995
322,0.0267792216406926
323,0.0258138534415584
324,0.0245670999393939
325,0.0234329005714285
326,0.0222770563376623
327,0.0212510821904762
328,0.0203246750952381
329,0.0198484844458874
330,0.019558441069264
331,0.019480518991342
332,0.019415584012987
333,0.0196493504199134
334,0.0200476190779221
335,0.0204805195714285
336,0.021017316017316
337,0.0218787877878788
338,0.0228181817878788
339,0.0240606061991342
340,0.0250779226320346
341,0.0262034638917749
342,0.0273939397056277
343,0.0285151517099567
344,0.0296753252900432
345,0.0310303033636363
346,0.0323593074761904
347,0.0338787882207792
348,0.0354761909090909
349,0.0374199135670995
350,0.0395108221341991
351,0.0415974021818181
352,0.0437705628571428
353,0.046030303060606
354,0.0480000003116882
355,0.0500606069913419
356,0.0520779225887445
357,0.0542034634935064
358,0.0563939398008657
359,0.058515151060606
360,0.0606753243896103
361,0.0629393942380952
362,0.0654199147056276
363,0.0681385292554112
364,0.070649352138528
365,0.0735064944458873
366,0.0765108234242423
367,0.0795108229177488
368,0.0825974034372293
369,0.0856796547056276
370,0.0890000009004328
371,0.092138528164502
372,0.0952510825541124
373,0.0986450210043289
374,0.102069263484848
375,0.105805194575757
376,0.110004329034632
377,0.114688311779221
378,0.119943722943723
379,0.125727273636363
380,0.131865799350649
381,0.13825108025974
382,0.144554113419913
383,0.151038961904762
384,0.157943723809524
385,0.165285714242424
386,0.173194806666666
387,0.181822513376623
388,0.191056277402597
389,0.200852814891775
390,0.211147189393939
391,0.221943725541125
392,0.233086580995671
393,0.24468398038961
394,0.256913416190476
395,0.269506487229437
396,0.282792199177489
397,0.296792196580086
398,0.311506483203463
399,0.326822502510822
400,0.342653671082251
401,0.359225099567099
402,0.376316011645021
403,0.393774889783549
404,0.411714283419913
405,0.430086579264069
406,0.448913424632034
407,0.468376623030302
408,0.488255404891774
409,0.508727269870129
410,0.52955411095238
411,0.550562775974025
412,0.571735933679653
413,0.592878792294371
414,0.614281395584415
415,0.635766237662337
416,0.657203466839826
417,0.678796538831168
418,0.700324668311687
419,0.721748915108224
420,0.743073590606059
421,0.764103896580085
422,0.784913423766233
423,0.80508658151515
424,0.824805195108224
425,0.843896099134198
426,0.862298694069263
427,0.880108218528137
428,0.896909082857142
429,0.91277055155844
430,0.927718602943722
431,0.941584403636362
432,0.95424242116883
433,0.965653688787877
434,0.975714299956709
435,0.984298715411254
436,0.991017324372293
437,0.996060608484847
438,0.99906061190476
439,0.999935070086579
440,0.998450218658007
441,0.99454978155844
442,0.987883114025973
443,0.978696965541124
444,0.966883113852813
445,0.952640688917748
446,0.935571433333332
447,0.916008668398267
448,0.893883123160172
449,0.869147186233765
450,0.841731600259739
451,0.812073583160172
452,0.779939379090908
453,0.745666644329003
454,0.709701284761904
455,0.672510814848484
456,0.634316016536796
457,0.595670995194804
458,0.556909092337662
459,0.518389610216449
460,0.47994372056277
461,0.441844151255411
462,0.404536798787878
463,0.368268398744588
464,0.333333334285714
465,0.300090907619047
466,0.268969695324675
467,0.240047615238095
468,0.213341986233766
469,0.188675319134199
470,0.166203460861472
471,0.145887444337662
472,0.127354976774892
473,0.110701298878788
474,0.0957316035497834
475,0.0824285725324674
476,0.0707099578831168
477,0.060471862073593
478,0.0517229439740259
479,0.0442034633722943
480,0.0375670998744588
481,0.0320432906147186
482,0.0272424247662337
483,0.0231948058744588
484,0.0196839833168831
485,0.0167142858727273
486,0.014177489225974
487,0.0120346320952381
488,0.0102683982549783
489,0.00883549771991341
490,0.00784848490216449
491,0.00695671006493506
492,0.00625108239437229
493,0.00564502175108224
494,0.00534199126796536
495,0.00507792198744588
496,0.00483116876666666
497,0.00462770563939393
498,0.00440259749696969
499,0.00400000013073593
500,0.00359740273203463
501,0.00328138538311688
502,0.00313852816623376
503,0.00296969696363636
504,0.00290909089090909
505,0.00309090908181818
506,0.00303030302727272
507,0.00286147187532467
508,0.00262770566493506
509,0.00237229443506493
510,0.00213852822467532
511,0.00196969707272727
512,0.00190909101818182
513,0.0020000001
514,0.0020909092
515,0.00193939403333333
516,0.00183116891428571
517,0.00176623384285714
518,0.00174458881904762
519,0.00176623384285714
520,0.00183116891428571
521,0.00193939403333333
522,0.0020909092
523,0.0020000001
524,0.0020000001
525,0.0020000001
526,0.0020000001
527,0.0020000001
528,0.0020000001
529,0.0020000001
